Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2017,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,F,NUMBER,11
2017,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,G,NUMBER,6
2017,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,,NUMBER,4
2017,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,M,NUMBER,3
2017,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,B,NUMBER,0
2017,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,F,NUMBER,0
2017,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,G,NUMBER,1
2018,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_00,LA,,NUMBER,24
2018,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,,NUMBER,21
2018,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,M,NUMBER,4
2018,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,B,NUMBER,8
2018,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,F,NUMBER,4
2018,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,G,NUMBER,5
2018,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,,NUMBER,3
2018,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,M,NUMBER,2
2018,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,B,NUMBER,1
2018,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,F,NUMBER,0
2018,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,G,NUMBER,0
2019,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_00,LA,,NUMBER,25
2019,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,,NUMBER,16
2019,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,M,NUMBER,5
2019,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,B,NUMBER,4
2019,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,F,NUMBER,2
2019,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,G,NUMBER,5
2019,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,,NUMBER,9
2019,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,M,NUMBER,8
2019,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,B,NUMBER,1
2019,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,F,NUMBER,0
2019,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,G,NUMBER,0
2020,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_00,LA,,NUMBER,33
2020,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,,NUMBER,24
2020,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,M,NUMBER,11
2020,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,B,NUMBER,9
2020,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,F,NUMBER,2
2020,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,G,NUMBER,2
2020,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,,NUMBER,6
2020,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,M,NUMBER,6
2020,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,B,NUMBER,1
2020,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,F,NUMBER,0
2020,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,G,NUMBER,0
