Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,Boy,Number,1
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,Female,Number,0
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,Girl,Number,0
2020,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties-Total,Lao People's Democratic Republic,,Number,33
2020,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,,Number,24
2020,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,Male,Number,11
2020,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,Boy,Number,9
2020,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,Female,Number,2
2020,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,Girl,Number,2
2020,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,,Number,6
2020,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,Male,Number,6
2020,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,Boy,Number,1
2020,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,Female,Number,0
2020,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,Girl,Number,0
